Gloss Variant,Consultant,Session,Scene,Start,End,id,session_scene,session_scene_id,is_corrupt
#DOG+,Tyler,ASL_2008_05_29a,1,3946,3984,42,ASL_2008_05_29a-1,446,0
#DOG++,Dana,ASL_2007_05_24,11,675,735,43,ASL_2007_05_24-11,25,0
#DOG++,Liz,ASL_2008_01_18,21,1077,1110,44,ASL_2008_01_18-21,139,0
#EARLY,Brady,ASL_2011_06_14_Brady,9,4808,4841,45,ASL_2011_06_14_Brady-9,805,0
#EARLY,Brady,ASL_2011_06_14_Brady,9,5366,5401,46,ASL_2011_06_14_Brady-9,805,0
#EARLY,Liz,ASL_2008_01_18,27,1136,1202,47,ASL_2008_01_18-27,145,0
#EARLY,Liz,ASL_2008_01_18,27,1610,1667,48,ASL_2008_01_18-27,145,0
#ED,Brady,ASL_2011_06_14_Brady,10,2928,2946,49,ASL_2011_06_14_Brady-10,753,0
#ED,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,11,475,530,50,ASL_2010_08_10_Liz_additional_lexicon_signs-11,691,0
#ED,Naomi,ASL_2008_08_06,28,3062,3085,51,ASL_2008_08_06-28,610,0
#ED,Tyler,ASL_2008_05_29a,8,3115,3140,52,ASL_2008_05_29a-8,494,0
#FF,Brady,ASL_2011_06_14_Brady,23,879,891,53,ASL_2011_06_14_Brady-23,767,0
#FF,Dana,ASL_2007_05_24,15,2411,2459,54,ASL_2007_05_24-15,29,0
#FF,Liz,ASL_2008_01_18,49,1760,1795,55,ASL_2008_01_18-49,169,0
#FF,Naomi,ASL_2008_08_06,49,1341,1365,56,ASL_2008_08_06-49,633,0
#FF,Tyler,ASL_2008_05_29a,30,1545,1567,57,ASL_2008_05_29a-30,468,0
#FF_2,Lana,ASL_2006_10_10,11,2476,2500,58,ASL_2006_10_10-11,3,0
#FIX,Liz,ASL_2008_01_18,43,1429,1454,59,ASL_2008_01_18-43,163,0
#FIX,Naomi,ASL_2008_08_06,43,1445,1461,60,ASL_2008_08_06-43,627,0
#FIX,Tyler,ASL_2008_05_29a,23,1280,1293,61,ASL_2008_05_29a-23,461,0
#HA-HA+,Brady,ASL_2011_06_14_Brady,30,5273,5293,62,ASL_2011_06_14_Brady-30,775,0
#HA-HA++,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,20,255,300,63,ASL_2010_08_10_Liz_additional_lexicon_signs-20,700,0
#HR,Brady,ASL_2011_06_14_Brady,30,5005,5016,64,ASL_2011_06_14_Brady-30,775,0
#HR,Liz,ASL_2008_02_01,15,825,865,65,ASL_2008_02_01-15,181,0
#HR,Naomi,ASL_2008_08_13,12,1176,1208,66,ASL_2008_08_13-12,643,0
#HR,Tyler,ASL_2008_05_29a,44,800,825,67,ASL_2008_05_29a-44,483,0
#IF+,Brady,ASL_2011_06_14_Brady,39,152,174,68,ASL_2011_06_14_Brady-39,782,0
#IF+,Liz,ASL_2008_02_01,29,1745,1790,69,ASL_2008_02_01-29,194,0
#IF+,Tyler,ASL_2008_05_29b,4,1730,1747,70,ASL_2008_05_29b-4,510,0
#IF++,Naomi,ASL_2008_08_13,24,4820,4852,71,ASL_2008_08_13-24,656,0
#JOB,Brady,ASL_2011_06_14_Brady,43,4192,4203,72,ASL_2011_06_14_Brady-43,787,0
#JOB,Lana,ASL_2006_10_10,2,1090,1103,73,ASL_2006_10_10-2,11,0
#JOB,Liz,ASL_2008_02_01,37,2185,2216,74,ASL_2008_02_01-37,203,0
#JOB_2,Dana,ASL_2007_05_24,5,1309,1361,75,ASL_2007_05_24-5,41,0
#JOB_2,Naomi,ASL_2008_08_13,31,1507,1522,76,ASL_2008_08_13-31,664,0
#LAB,Brady,ASL_2011_06_14_Brady,46,300,317,77,ASL_2011_06_14_Brady-46,790,0
#LAB,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,31,501,535,78,ASL_2010_08_10_Liz_additional_lexicon_signs-31,712,0
#MW,Liz,ASL_2008_02_01,56,1181,1205,79,ASL_2008_02_01-56,224,0
#NO,Lana,ASL_2006_10_10,19,1929,1933,80,ASL_2006_10_10-19,10,0
#NO,Liz,ASL_2008_02_15,19,3673,3705,81,ASL_2008_02_15-19,240,0
#NO++,Dana,ASL_2007_05_24,21,1838,1880,82,ASL_2007_05_24-21,35,0
#OD,Brady,ASL_2011_07_19_Brady,23,3836,3854,83,ASL_2011_07_19_Brady-23,830,0
#OD,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,21,1502,1541,84,ASL_2010_08_10_Liz_additional_lexicon_signs-21,701,0
#OFF,Brady,ASL_2011_07_19_Brady,18,1496,1514,85,ASL_2011_07_19_Brady-18,824,0
#OFF,Liz,ASL_2008_02_15,23,772,800,86,ASL_2008_02_15-23,245,0
#OK,Brady,ASL_2011_07_19_Brady,17,2402,2410,87,ASL_2011_07_19_Brady-17,823,0
#OK,Liz,ASL_2008_02_15,22,1095,1132,88,ASL_2008_02_15-22,244,0
#OR,Brady,ASL_2011_07_19_Brady,17,2600,2612,89,ASL_2011_07_19_Brady-17,823,0
#OR,Liz,ASL_2008_02_15,22,1290,1340,90,ASL_2008_02_15-22,244,0
#PE,Brady,ASL_2011_06_14_Brady,30,3107,3120,91,ASL_2011_06_14_Brady-30,775,0
#PE,Liz,ASL_2008_02_01,13,3275,3320,92,ASL_2008_02_01-13,180,0
#PE,Naomi,ASL_2008_08_13,11,3351,3385,93,ASL_2008_08_13-11,642,0
#PIZZA,Liz,ASL_2008_02_15,40,3820,3885,94,ASL_2008_02_15-40,264,0
#PO,Brady,ASL_2011_07_19_Brady,39,479,497,95,ASL_2011_07_19_Brady-39,846,0
#PO,Liz,ASL_2008_02_15,45,915,931,96,ASL_2008_02_15-45,269,0
#REF,Brady,ASL_2011_07_19_Brady,53,131,154,97,ASL_2011_07_19_Brady-53,862,0
#REF,Liz,ASL_2008_02_29,8,562,610,98,ASL_2008_02_29-8,332,0
#RR,Brady,ASL_2011_07_19_Brady,58,971,995,99,ASL_2011_07_19_Brady-58,866,0
#RR,Dana,ASL_2007_05_24,25,1152,1186,100,ASL_2007_05_24-25,38,0
#RR,Liz,ASL_2008_02_29,13,1365,1402,101,ASL_2008_02_29-13,285,0
#SS,Brady,ASL_2011_07_19_Brady,89,2426,2464,102,ASL_2011_07_19_Brady-89,891,0
#SS,Liz,ASL_2008_02_29,37,1521,1570,103,ASL_2008_02_29-37,310,0
#TTY,Brady,ASL_2011_07_22_Brady,12,2338,2362,104,ASL_2011_07_22_Brady-12,903,0
#TTY,Liz,ASL_2008_03_28,24,1022,1054,105,ASL_2008_03_28-24,346,0
#TV+,Brady,ASL_2011_07_19_Brady,111,1150,1176,106,ASL_2011_07_19_Brady-111,816,0
#TV+,Liz,ASL_2008_03_28,7,490,511,107,ASL_2008_03_28-7,375,0
#WHAT,Brady,ASL_2011_07_22_Brady,27,3338,3370,108,ASL_2011_07_22_Brady-27,918,0
#WHAT,Liz,ASL_2008_03_28,39,2112,2175,109,ASL_2008_03_28-39,362,0
#WILL,Brady,ASL_2011_07_22_Brady,30,1345,1374,110,ASL_2011_07_22_Brady-30,921,0
#WILL,Liz,ASL_2008_03_28,42,1368,1397,111,ASL_2008_03_28-42,366,0
#WOW,Brady,ASL_2011_07_22_Brady,33,2330,2360,112,ASL_2011_07_22_Brady-33,924,0
#WOW,Liz,ASL_2008_03_28,45,1615,1662,113,ASL_2008_03_28-45,369,0
#YES,Brady,ASL_2011_07_22_Brady,35,2313,2330,114,ASL_2011_07_22_Brady-35,926,0
#YES,Liz,ASL_2008_03_28,47,2081,2111,115,ASL_2008_03_28-47,371,0
#YES,Liz,ASL_2008_03_28,47,2571,2595,116,ASL_2008_03_28-47,371,0
(1)CARROT,Tyler,ASL_2008_05_12a,41,292,331,117,ASL_2008_05_12a-41,413,0
(1)CHEAT+,Liz,ASL_2008_01_11,71,1365,1400,118,ASL_2008_01_11-71,111,0
(1)CORNER,Brady,ASL_2011_06_08_Brady,30,7582,7630,119,ASL_2011_06_08_Brady-30,738,0
(1)CORNER,Liz,ASL_2008_01_18,5,2980,3032,120,ASL_2008_01_18-5,170,0
(1)CORNER,Naomi,ASL_2008_08_06,5,4125,4156,121,ASL_2008_08_06-5,634,0
(1)E-MAIL,Brady,ASL_2011_06_14_Brady,9,3103,3115,122,ASL_2011_06_14_Brady-9,805,0
(1)FAR,Dana,ASL_2007_05_24,13,335,381,123,ASL_2007_05_24-13,27,0
(1)FAR,Lana,ASL_2006_10_10,9,320,361,124,ASL_2006_10_10-9,23,0
(1)FINGERPRINTS+,Tyler,ASL_2008_05_29a,21,2205,2265,125,ASL_2008_05_29a-21,459,0
(1)GO-STEADY+,Tyler,ASL_2008_05_29a,38,3070,3145,126,ASL_2008_05_29a-38,476,0
(1)HUMBLE,Brady,ASL_2011_06_14_Brady,37,7315,7339,127,ASL_2011_06_14_Brady-37,781,0
(1)MINOR,Brady,ASL_2011_07_19_Brady,2,3351,3380,128,ASL_2011_07_19_Brady-2,826,0
(1)SNOB,Brady,ASL_2011_07_19_Brady,89,117,149,129,ASL_2011_07_19_Brady-89,891,0
(1)TEMPERATURE/PITCH,Brady,ASL_2011_07_22_Brady,55,675,739,130,ASL_2011_07_22_Brady-55,946,0
(1)TEMPERATURE/PITCH+,Brady,ASL_2011_07_19_Brady,111,1772,1824,131,ASL_2011_07_19_Brady-111,816,0
(1)TEMPERATURE/PITCH+,Liz,ASL_2008_03_28,7,1312,1361,132,ASL_2008_03_28-7,375,0
(1)THROW,Brady,ASL_2011_07_22_Brady,5,477,504,133,ASL_2011_07_22_Brady-5,941,0
(1)THROW,Brady,ASL_2011_07_22_Brady,55,3333,3354,134,ASL_2011_07_22_Brady-55,946,0
(1)THROW,Liz,ASL_2008_03_28,16,2201,2230,135,ASL_2008_03_28-16,337,0
(1)TORNADO+,Brady,ASL_2011_07_22_Brady,8,3103,3146,136,ASL_2011_07_22_Brady-8,950,0
(1)TORNADO+,Liz,ASL_2008_03_28,20,2500,2552,137,ASL_2008_03_28-20,342,0
(1)TRACE-HEART,Brady,ASL_2011_06_14_Brady,33,306,342,138,ASL_2011_06_14_Brady-33,778,0
(1)TRACE-HEART,Liz,ASL_2008_02_01,20,1335,1385,139,ASL_2008_02_01-20,186,0
(1)TRACE-HEART,Naomi,ASL_2008_08_13,16,2223,2252,140,ASL_2008_08_13-16,647,0
(1)TRAVEL,Brady,ASL_2011_07_22_Brady,11,2379,2410,141,ASL_2011_07_22_Brady-11,902,0
(1)TRAVEL,Liz,ASL_2008_03_28,23,3153,3198,142,ASL_2008_03_28-23,345,0
(1)WATER+OCEAN,Dana,ASL_2007_05_24,21,2351,2443,143,ASL_2007_05_24-21,35,0
(1)WHO+,Liz,ASL_2008_03_28,41,2111,2140,144,ASL_2008_03_28-41,365,0
(1)WHO++,Brady,ASL_2011_07_22_Brady,30,114,158,145,ASL_2011_07_22_Brady-30,921,0
(10)HOSPITAL,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,6,1492,1577,146,ASL_2010_08_10_Liz_additional_lexicon_signs-6,715,0
(1h)#ED,Liz,ASL_2008_01_18,28,2550,2575,147,ASL_2008_01_18-28,146,0
(1h)(5)GO,Tyler,ASL_2008_05_29a,38,1125,1155,148,ASL_2008_05_29a-38,476,0
(1h)(L)LOW,Tyler,ASL_2008_06_10,7,257,288,149,ASL_2008_06_10-7,536,0
(1h)(L-X)INTERESTING+ZERO_2,Liz,ASL_2008_02_15,21,1134,1203,150,ASL_2008_02_15-21,243,0
(1h)ABORTION,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,5,1098,1163,151,ASL_2010_08_10_Liz_additional_lexicon_signs-5,714,0
(1h)ADMIT,Tyler,ASL_2008_05_12a,6,6350,6392,152,ASL_2008_05_12a-6,423,0
(1h)ANGRY,Lana,ASL_2006_10_10,18,1089,1103,153,ASL_2006_10_10-18,9,0
(1h)AREA,Lana,ASL_2006_10_10,17,2569,2620,154,ASL_2006_10_10-17,8,0
(1h)BAKING-SPRINKLES,Brady,ASL_2011_07_19_Brady,94,2031,2077,155,ASL_2011_07_19_Brady-94,895,0
(1h)CARELESS+,Liz,ASL_2008_01_11,65,1050,1090,156,ASL_2008_01_11-65,104,0
(1h)CHILDREN+,Liz,ASL_2008_01_11,74,1255,1290,157,ASL_2008_01_11-74,114,0
(1h)CHILDREN++,Brady,ASL_2011_06_08_Brady,27,7121,7150,158,ASL_2011_06_08_Brady-27,735,0
(1h)CHOKE-1p,Liz,ASL_2008_01_11,76,265,300,159,ASL_2008_01_11-76,116,0
(1h)CHOKE-1p,Tyler,ASL_2008_05_12a,46,542,567,160,ASL_2008_05_12a-46,418,0
(1h)COME,Brady,ASL_2011_06_08_Brady,29,1127,1151,161,ASL_2011_06_08_Brady-29,737,0
(1h)COME,Liz,ASL_2008_01_11,84,1670,1705,162,ASL_2008_01_11-84,124,0
(1h)COME,Naomi,ASL_2008_08_04,52,3545,3565,163,ASL_2008_08_04-52,585,0
(1h)COME,Tyler,ASL_2008_05_12a,50,4431,4460,164,ASL_2008_05_12a-50,422,0
(1h)COW,Brady,ASL_2011_06_08_Brady,31,2300,2321,165,ASL_2011_06_08_Brady-31,739,0
(1h)COW,Dana,ASL_2007_05_24,10,1236,1277,166,ASL_2007_05_24-10,24,0
(1h)COW,Lana,ASL_2006_10_10,6,1040,1066,167,ASL_2006_10_10-6,20,0
(1h)DEFLATE,Naomi,ASL_2008_08_06,13,3190,3221,168,ASL_2008_08_06-13,594,0
(1h)DIMPLE,Brady,ASL_2011_06_08_Brady,34,4705,4733,169,ASL_2011_06_08_Brady-34,742,0
(1h)DIMPLE,Tyler,ASL_2008_05_12b,16,2415,2450,170,ASL_2008_05_12b-16,434,0
(1h)DO-DO+,Liz,ASL_2008_02_15,25,391,425,171,ASL_2008_02_15-25,247,0
(1h)DOORBELL+,Brady,ASL_2011_06_14_Brady,6,2488,2508,172,ASL_2011_06_14_Brady-6,802,0
(1h)DOORBELL++,Tyler,ASL_2008_05_29a,2,2520,2575,173,ASL_2008_05_29a-2,457,0
(1h)DRIP,Brady,ASL_2011_06_14_Brady,7,5295,5323,174,ASL_2011_06_14_Brady-7,803,0
(1h)DRIP,Brady,ASL_2011_07_22_Brady,42,1273,1290,175,ASL_2011_07_22_Brady-42,933,0
(1h)DRIP,Liz,ASL_2008_01_18,25,480,511,176,ASL_2008_01_18-25,143,0
(1h)DRIP,Naomi,ASL_2008_08_06,25,275,305,177,ASL_2008_08_06-25,607,0
(1h)DRIP+,Tyler,ASL_2008_05_29a,4,2470,2517,178,ASL_2008_05_29a-4,478,0
(1h)DROP,Tyler,ASL_2008_05_29a,4,3775,3805,179,ASL_2008_05_29a-4,478,0
(1h)EASTER,Lana,ASL_2006_10_10,8,1340,1364,180,ASL_2006_10_10-8,22,0
(1h)EAT-UP,Liz,ASL_2008_01_18,4,905,950,181,ASL_2008_01_18-4,159,0
(1h)EAT-UP,Naomi,ASL_2008_08_06,4,540,567,182,ASL_2008_08_06-4,623,0
(1h)FALL,Tyler,ASL_2008_05_29a,18,366,400,183,ASL_2008_05_29a-18,455,0
(1h)FEED,Lana,ASL_2006_10_10,9,1354,1376,184,ASL_2006_10_10-9,23,0
(1h)FINISH,Brady,ASL_2011_07_19_Brady,99,1565,1580,185,ASL_2011_07_19_Brady-99,900,0
(1h)FINISH,Liz,ASL_2008_02_29,48,513,548,186,ASL_2008_02_29-48,322,0
(1h)FISH,Brady,ASL_2011_06_14_Brady,19,683,713,187,ASL_2011_06_14_Brady-19,762,0
(1h)FISH,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,11,3745,3790,188,ASL_2010_08_10_Liz_additional_lexicon_signs-11,691,0
(1h)FISH,Naomi,ASL_2008_08_06,42,2676,2695,189,ASL_2008_08_06-42,626,0
(1h)FORCE,Brady,ASL_2011_06_14_Brady,21,5727,5755,190,ASL_2011_06_14_Brady-21,765,0
(1h)FORCE,Liz,ASL_2008_01_18,47,921,946,191,ASL_2008_01_18-47,167,0
(1h)FRACTION,Liz,ASL_2010_08_10_Liz_additional_lexicon_signs,28,2997,3050,192,ASL_2010_08_10_Liz_additional_lexicon_signs-28,708,0
(1h)FRECKLES,Liz,ASL_2008_01_18,49,1220,1265,193,ASL_2008_01_18-49,169,0
(1h)GIFT,Brady,ASL_2011_06_14_Brady,26,830,847,194,ASL_2011_06_14_Brady-26,770,0
(1h)GIFT,Liz,ASL_2008_02_01,5,770,800,195,ASL_2008_02_01-5,217,0
(1h)GIFT,Naomi,ASL_2008_08_13,5,792,820,196,ASL_2008_08_13-5,672,0
(1h)GIFT,Tyler,ASL_2008_05_29a,37,611,640,197,ASL_2008_05_29a-37,475,0
(1h)GO,Brady,ASL_2011_06_14_Brady,26,8773,8800,198,ASL_2011_06_14_Brady-26,770,0
(1h)GO,Liz,ASL_2008_02_01,7,1445,1495,199,ASL_2008_02_01-7,228,0
(1h)GOOD/THANK-YOU,Brady,ASL_2011_07_19_Brady,113,156,179,200,ASL_2011_07_19_Brady-113,818,0
(1h)GOOD/THANK-YOU,Brady,ASL_2011_07_22_Brady,27,174,192,201,ASL_2011_07_22_Brady-27,918,0
(1h)GOOD/THANK-YOU,Lana,ASL_2006_09_26,61,1426,1455,202,ASL_2006_09_26-61,1,0
(1h)GOOD/THANK-YOU,Liz,ASL_2008_03_28,8,2510,2535,203,ASL_2008_03_28-8,376,0
(1h)GOOD/THANK-YOU,Liz,ASL_2008_03_28,38,2055,2090,204,ASL_2008_03_28-38,361,0
(1h)GOOD/THANK-YOU+(1h)MORNING,Liz,ASL_2008_02_01,9,893,920,205,ASL_2008_02_01-9,230,0
(1h)GOOD/THANK-YOU+(1h)MORNING,Naomi,ASL_2008_08_13,8,880,914,206,ASL_2008_08_13-8,675,0
(1h)GOOD/THANK-YOU+(1h)MORNING,Tyler,ASL_2008_05_29a,40,818,843,207,ASL_2008_05_29a-40,479,0
(1h)GOOD/THANK-YOU+MORNING,Liz,ASL_2008_02_01,9,672,710,208,ASL_2008_02_01-9,230,0
(1h)GOOD/THANK-YOU+NIGHT,Liz,ASL_2008_02_01,9,1107,1146,209,ASL_2008_02_01-9,230,0
(1h)GOOD/THANK-YOU+NIGHT,Naomi,ASL_2008_08_13,8,1160,1190,210,ASL_2008_08_13-8,675,0
(1h)HAIRCUT++AGENT,Liz,ASL_2008_01_11,32,525,588,211,ASL_2008_01_11-32,68,0
(1h)HAMMER+,Dana,ASL_2007_05_24,16,2649,2697,212,ASL_2007_05_24-16,30,0
(1h)HAMMER+,Lana,ASL_2006_10_10,12,2732,2766,213,ASL_2006_10_10-12,4,0
(1h)HAMMER++,Tyler,ASL_2008_05_12a,40,4330,4382,214,ASL_2008_05_12a-40,412,0
(1h)HAMMER++,Tyler,ASL_2008_05_29a,45,2365,2410,215,ASL_2008_05_29a-45,484,0
(1h)HAMMER+++,Brady,ASL_2011_07_22_Brady,46,560,614,216,ASL_2011_07_22_Brady-46,937,0
(1h)HAMMER+AGENT,Brady,ASL_2011_06_14_Brady,43,7360,7397,217,ASL_2011_06_14_Brady-43,787,0
(1h)HAPPY+,Brady,ASL_2011_06_14_Brady,31,6750,6779,218,ASL_2011_06_14_Brady-31,776,0
(1h)HAPPY+,Dana,ASL_2007_05_24,17,774,834,219,ASL_2007_05_24-17,31,0
(1h)HAPPY+,Lana,ASL_2006_10_10,14,386,422,220,ASL_2006_10_10-14,5,0
(1h)HAPPY+,Liz,ASL_2008_02_01,18,2245,2297,221,ASL_2008_02_01-18,183,0
(1h)HAPPY+,Liz,ASL_2008_03_28,27,3620,3677,222,ASL_2008_03_28-27,349,0
(1h)HAPPY+,Tyler,ASL_2008_05_29a,46,880,930,223,ASL_2008_05_29a-46,485,0
(1h)HAPPY+(1h)MOST,Liz,ASL_2008_02_15,46,2685,2725,224,ASL_2008_02_15-46,270,0
(1h)HAPPY++,Brady,ASL_2011_07_22_Brady,16,2646,2721,225,ASL_2011_07_22_Brady-16,907,1
(1h)HAPPY+++,Naomi,ASL_2008_08_13,14,1192,1235,226,ASL_2008_08_13-14,645,0
(1h)HAPPY++NEW+YEAR,Brady,ASL_2011_07_19_Brady,69,678,750,227,ASL_2011_07_19_Brady-69,871,0
(1h)HAPPY++NEW+YEAR,Brady,ASL_2011_07_22_Brady,51,1916,1995,228,ASL_2011_07_22_Brady-51,943,0
(1h)HONOR,Brady,ASL_2011_06_14_Brady,35,4391,4413,229,ASL_2011_06_14_Brady-35,780,0
(1h)HONOR,Liz,ASL_2008_02_01,24,1220,1255,230,ASL_2008_02_01-24,190,0
(1h)HOW-MANY/MANY,Brady,ASL_2011_06_14_Brady,37,5589,5609,231,ASL_2011_06_14_Brady-37,781,0
(1h)HOW-MANY/MANY,Liz,ASL_2008_02_01,25,2420,2447,232,ASL_2008_02_01-25,191,0
(1h)HOW-MANY/MANY,Naomi,ASL_2008_08_13,21,4767,4790,233,ASL_2008_08_13-21,653,0
(1h)LAST-YEAR,Brady,ASL_2011_06_14_Brady,47,434,458,234,ASL_2011_06_14_Brady-47,791,0
(1h)LAST-YEAR,Liz,ASL_2008_02_01,44,645,675,235,ASL_2008_02_01-44,211,0
(1h)LAUGH++,Tyler,ASL_2008_05_12a,46,1786,1820,236,ASL_2008_05_12a-46,418,0
"(1h)LCL""path-turn-around""",Liz,ASL_2008_03_28,24,2548,2584,237,ASL_2008_03_28-24,346,0
(1h)LINE,Liz,ASL_2008_03_28,27,1750,1797,238,ASL_2008_03_28-27,349,0
(1h)MISUNDERSTAND,Brady,ASL_2011_07_19_Brady,4,1328,1348,239,ASL_2011_07_19_Brady-4,847,0
(1h)MISUNDERSTAND,Liz,ASL_2008_02_15,7,2245,2300,240,ASL_2008_02_15-7,279,0
(1h)MISUNDERSTAND,Tyler,ASL_2008_06_10,17,1280,1306,241,ASL_2008_06_10-17,524,0
(1h)NEXT-TO,Brady,ASL_2011_06_08_Brady,19,8077,8099,242,ASL_2011_06_08_Brady-19,728,0
(1h)NONE/NOTHING,Liz,ASL_2008_02_15,20,971,1015,243,ASL_2008_02_15-20,242,0
(1h)OPTION,Tyler,ASL_2008_05_12a,46,302,375,244,ASL_2008_05_12a-46,418,0
(1h)ORBIT,Tyler,ASL_2008_05_12a,14,1900,1940,245,ASL_2008_05_12a-14,383,0
(1h)PONDER+,Brady,ASL_2011_07_19_Brady,115,662,734,246,ASL_2011_07_19_Brady-115,820,0
(1h)PONDER+,Brady,ASL_2011_07_22_Brady,47,2259,2320,247,ASL_2011_07_22_Brady-47,938,0
(1h)PONDER+,Liz,ASL_2008_02_15,12,785,836,248,ASL_2008_02_15-12,234,0
(1h)PONDER+,Tyler,ASL_2008_06_10,21,313,353,249,ASL_2008_06_10-21,529,0
(1h)PREGNANT,Brady,ASL_2011_07_19_Brady,41,143,158,250,ASL_2011_07_19_Brady-41,849,0
(1h)PREGNANT,Liz,ASL_2008_02_15,46,2876,2905,251,ASL_2008_02_15-46,270,0
(1h)PROCEED,Tyler,ASL_2008_05_29a,38,1340,1367,252,ASL_2008_05_29a-38,476,0
(1h)RESPECT,Brady,ASL_2011_07_19_Brady,57,1626,1657,253,ASL_2011_07_19_Brady-57,865,0
(1h)RESPECT,Liz,ASL_2008_02_29,12,1815,1847,254,ASL_2008_02_29-12,284,0
(1h)RESPONSIBILITY+,Tyler,ASL_2008_05_29a,19,2730,2765,255,ASL_2008_05_29a-19,456,0
(1h)SCREAM,Lana,ASL_2006_10_10,25,2276,2287,256,ASL_2006_10_10-25,16,0
